0ad	古代战争即时策略游戏
1limx	跨平台离线安全文件、密码、信息管理器
1os-checkout	Bitrix24云POS
fpinger	此应用程序将检查所选主机的可用性，并在失败时提醒您
1password	1Password – 密码管理器和安全钱包
1password-linux	1Linux 的密码
2048x	一款经典的2048块滑动益智游戏
qt-2048-snap	单人益智游戏。
2fa	双因素身份验证代理
3c-portfolio-manager	3C产品组合经理
4ktube	一键下载 YouTube 4k/8k 视频/播放列表/音频
formatlab	一键转换视频和音频格式
500apps	500 个应用程序
5-card-poker-collection	扑克变体集
5password	单行电梯推介为您带来精彩快照
5-realms-of-cards	美丽版的耐心
6to-app	6to电视电影下载器
7vpn	7vpn - 隐私变得简单
eightqueens	8 Queens Performance Benchmark Test And Meter 应用程序是一款可视化 CPU 性能应用程序。
90250-signum-mp	单行电梯推介为您带来精彩快照
a4wd1-ros	A4WD1机器人的ROS
aaaaxy	发生在不可能的空间中的非线性解谜平台游戏。
aacgain	AACGain 使用重放增益算法标准化数字音乐文件的音量
aaden	亚登
aaden-vue-app	亚登景观
aamath	ASCII 艺术数学
ab	使用较短名称测试快照
abeato-test-snap2	即时测试2
abeato-test-snap	即时测试
abeato-test-workshop	实验室小工具的 UC 简介测试
abeato-usb-modeswitch	USB_modeswitch 的底座
abstractgames	一套经典的街机和棋盘游戏
abusayed	阿布·赛义德应用程序
acbuild	AppC容器生成器
accountable2you	Accountable2You 监控设备活动并向您选择的合作伙伴发送报告，以帮助您承担责任。
account	测试
acestreamplayer	Ace Stream – P2P多媒体平台
acid-rain	下着酸雨，地滑，快跑。
acoder	使用代码生成人工智能助手提高编程速度
acronym-decoder	一个简单的工具，用于快速搜索各种首字母缩略词和缩写词的含义。
acrordrdc	Adobe Acrobat Reader 是由 Adobe Inc. 开发的 PDF 阅读器和 Web 服务。
act	该程序用于在一个动作之后执行一个操作
adapta-gtk-snap	Adapta：基于 Material Design 指南的自适应 Gtk+ 主题。
adapta-theme-colorpack	将 GTK 主题颜色包调整为 GTK Snap
addition	添加 python snap 应用程序
adguard-home	网络范围内的广告和跟踪器阻止 DNS 服务器
administrative-assistant	行政助理
adom	史诗般的 Roguelike 和 RPG 游戏 - 图形版本
adsb-box	ADS-B 工具
ads-b	ADS-B 解调器和解码器，S 模式和 3A/3C 模式
adtl	API开发和测试工具
advantech-socket-can	研华 CAN 通信卡的设备驱动程序
advatek-assistant	发现和管理 Advatek 设备。
advec-examples	Advtech EC 芯片示例
adw-gtk3-theme	adw-gtk3 即时端口
aec-arm	将表达式转换为arm cortex M4指令代码
aedit	基于英特尔 ISIS-II aedit 的文本编辑器
aegistimetrackertibicle	提高您的生产力和时间管理
aegisub-procles	高级字幕编辑器
aesify	使用 128 位或 256 位 AES 加密轻松加密 PDF 文件
aetherp2p	Aether 是一个由独立、自我管理的社区组成的点对点网络。
agente-teste	蓬图网代理
age-of-atlantis	精美的益智游戏
ags	冒险游戏工作室引擎来玩 ags 游戏。
agsubsimpro	具有高级控制的地铁模拟器（从Android移植）
agsubsim	轻型3D地铁模拟器
ahorcado	早期版本
ai-cubeflow-demo	ROS1 包基本快照
aigeneratedgame	从幽灵花园中拯救你的朋友！
ai-kubeflow-demo	带有 kubeflow docker 输出的基本 ROS1 包 snap 接口
ailibrary	Ailurus Studio C++ 库
ail-installer	Arishti 信息实验室安装程序。
aircontrol	AirControl 是一个用于深度学习研究的开源飞行模拟器。
airdash	随时随地传输照片和文件
airdb	空气数据库
airhockeyddv2	AIR 曲棍球双人对决 V2 特别版
airshark	非 WiFi 干扰分析仪
airsonic	您的个人一体式媒体流媒体。
airtame-application	艾尔塔姆
airxonix	很棒的动作游戏
aisle-sense	维森
aiva	艾瓦
akonadi	用于 PIM 应用程序的 KDE Akonadi 数据服务器
alacritty	快速、跨平台 OpenGL 终端仿真器
alacritty-unofficial	现代 GPU 加速终端模拟器
alarabiya-desktop	阿拉伯电视台
aldo	Aldo 是一款在 GPL 下发布的摩尔斯电码学习工具。
aleo-studio	世界上第一个用于零知识证明的 IDE。
alertsync	AlertSync 可实现监控和警报系统的同步
alexaweb	使用 HTML5 语音和扬声器连接到 Alexa
alfacast	无服务器流媒体音频/视频屏幕流媒体和查看器
algos	ALG
aliasman	别名人
aliddns	阿里云dns服务。
alien-arena-linux	超快的竞技场 FPS
alien-carnage	伟大的射手
alienware-cli	Alienware LED 和 HDMI 控制
alighieri	小说家和作家的无干扰工具
aliyazdi	适用于任何平台的响应式 Flutter 产品组合应用程序
aliyundrive-fuse	阿里云盘FUSE
aliyundrive-webdav	阿里云盘WebDAV
alligator	移动提要阅读器
allow2automate	允许2自动化
all-remixes	发现您喜爱的歌曲的所有混音版！
alphaapp	用于测试快照发布的应用程序。
alphacoders-downloader	用 Python 编写的从 https://alphacoders.com 下载壁纸的脚本。
alphasoc-ae	AlphaSOC 分析引擎
flightsim	AlphaSOC网络飞行模拟器（flightsim）
altair	适用于所有平台的美观且功能丰富的 GraphQL 客户端。
amass	深入的 DNS 枚举和网络映射。
amazing-poker-squares	纸牌游戏
amazon-ssm-agent	用于启用 Amazon EC2 实例配置远程管理的代理
amz-workspaces	随时随地在任何设备上访问您的桌面
amberol	一个小而简单的声音和音乐播放器，很好地集成到 GNOME 中。
amd-ucode-info	解析并显示有关 AMD CPU 微码容器文件的信息
amiconnected	检查您的互联网连接状态
