0ad	Forn stríðsleikur í rauntíma
1limx	Örugg skrá án nettengingar á milli vettvanga, lykilorð, upplýsingastjóri
1os-checkout	Bitrix24 ský POS
fpinger	Þetta app mun athuga framboð á völdum gestgjöfum og láta þig vita ef það mistekst
1password	1Password – Lykilorðsstjóri og öruggt veski
1password-linux	1Lykilorð fyrir Linux
2048x	Klassískur 2048 blokkarrennandi ráðgáta leikur
qt-2048-snap	Einspilara ráðgáta leikur.
2fa	Tveggja þátta auðkenningaraðili
3c-portfolio-manager	3C eignasafnsstjóri
4ktube	Sæktu YouTube 4k/8k myndbönd/spilunarlista/hljóð með einum smelli
formatlab	Umbreyttu myndbands- og hljóðsniði með einum smelli
500apps	500 öpp
5-card-poker-collection	Sett af pókerafbrigðum
5password	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
5-realms-of-cards	Falleg útgáfa af Patience
6to-app	6to til að hlaða niður sjónvarpi og kvikmyndum
7vpn	7vpn - Persónuvernd gert einfalt
eightqueens	8 Queens Performance Benchmark Test And Meter app er sjónrænt CPU frammistöðu app.
90250-signum-mp	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
a4wd1-ros	ROS fyrir A4WD1 vélmenni
aaaaxy	Ólínulegt þrautaspil sem gerist í ómögulegum rýmum.
aacgain	AACGain staðlar hljóðstyrk stafrænna tónlistarskráa með því að nota Replay Gain reikniritið
aaden	Aaden
aaden-vue-app	Aaden-Vue
aamath	ASCII listræn stærðfræði
ab	Prófsmellur með styttra nafni
abeato-test-snap2	Skyndipróf 2
abeato-test-snap	Augnablik próf
abeato-test-workshop	UC kynningarpróf fyrir rannsóknarstofugræju
abeato-usb-modeswitch	Dock fyrir usb_modeswitch
abstractgames	Sett af klassískum spilakassa og borðspilum
abusayed	Abu Sayed app
acbuild	AppC Container Builder
accountable2you	Accountable2You fylgist með virkni tækisins og sendir skýrslur til valins samstarfsaðila til að hjálpa þér að vera ábyrgur.
account	próf
acestreamplayer	Ace Stream – P2P margmiðlunarvettvangur
acid-rain	Það rignir súrt, jörðin er hál, hlaupið.
acoder	Auktu forritunarhraðann þinn með AI aðstoðarmanni sem býr til kóða
