0ad	古代戰爭即時策略遊戲
1limx	跨平台離線安全文件、密碼、資訊管理器
1os-checkout	Bitrix24雲端POS
fpinger	此應用程式將檢查所選主機的可用性，並在失敗時提醒您
1password	1Password – 密碼管理器和安全錢包
1password-linux	1Linux 的密碼
2048x	一款經典的2048款滑動益智遊戲
qt-2048-snap	單人益智遊戲。
2fa	雙重認證代理
3c-portfolio-manager	3C產品組合經理
4ktube	一鍵下載 YouTube 4k/8k 影片/播放清單/音頻
formatlab	一鍵轉換影片和音訊格式
500apps	500 個應用程式
5-card-poker-collection	撲克變體集
5password	單行電梯推廣為您帶來精彩快照
5-realms-of-cards	美麗版的耐心
6to-app	6to電視電影下載器
7vpn	7vpn - 隱私變簡單
eightqueens	8 Queens Performance Benchmark Test And Meter 應用程式是一款視覺化 CPU 效能應用程式。
90250-signum-mp	單行電梯推廣為您帶來精彩快照
a4wd1-ros	A4WD1機器人的ROS
aaaaxy	發生在不可能的空間的非線性解謎平台遊戲。
aacgain	AACGain 使用重播增益演算法標準化數位音樂檔案的音量
aaden	亞登
aaden-vue-app	亞登景觀
aamath	ASCII 藝術數學
ab	使用較短名稱測試快照
abeato-test-snap2	即時測試2
abeato-test-snap	即時測試
abeato-test-workshop	實驗室小工具的 UC 簡介測試
abeato-usb-modeswitch	USB_modeswitch 的底座
abstractgames	一套經典的街機和棋盤遊戲
abusayed	阿布·賽義德應用程式
acbuild	AppC容器產生器
accountable2you	Accountable2You 監控裝置活動並向您選擇的合作夥伴發送報告，以協助您承擔責任。
account	測試
acestreamplayer	Ace Stream – P2P多媒體平台
acid-rain	下著酸雨，地滑，快跑。
acoder	使用程式碼產生人工智慧助理提高程式速度
acronym-decoder	一個簡單的工具，用於快速搜尋各種首字母縮略詞和縮寫詞的含義。
acrordrdc	Adobe Acrobat Reader 是由 Adobe Inc. 開發的 PDF 閱讀器和 Web 服務。
act	該程式用於在一個動作之後執行一個操作
adapta-gtk-snap	Adapta：基於 Material Design 指南的自適應 Gtk+ 主題。
adapta-theme-colorpack	將 GTK 主題顏色套件調整為 GTK Snap
addition	新增 python snap 應用程式
adguard-home	網路範圍內的廣告和追蹤器封鎖 DNS 伺服器
administrative-assistant	行政助理
adom	史詩般的 Roguelike 和 RPG 遊戲 - 圖形版本
adsb-box	ADS-B 工具
ads-b	ADS-B 解調器和解碼器，S 模式和 3A/3C 模式
adtl	API開發和測試工具
advantech-socket-can	研華 CAN 通訊卡的設備驅動程式
advatek-assistant	發現並管理 Advatek 設備。
advec-examples	Advtech EC 晶片範例
adw-gtk3-theme	adw-gtk3 即時端口
aec-arm	將表達式轉換為arm cortex M4指令碼
aedit	基於英特爾 ISIS-II aedit 的文字編輯器
aegistimetrackertibicle	提高您的生產力和時間管理
aegisub-procles	進階字幕編輯器
aesify	使用 128 位元或 256 位元 AES 加密輕鬆加密 PDF 文件
aetherp2p	Aether 是一個由獨立、自我管理的社群組成的點對點網路。
agente-teste	蓬圖網代理
age-of-atlantis	精美的益智遊戲
ags	冒險遊戲工作室引擎來玩 ags 遊戲。
agsubsimpro	具有高級控制的地鐵模擬器（從Android移植）
agsubsim	輕型3D地鐵模擬器
ahorcado	早期版本
ai-cubeflow-demo	ROS1 套件基本快照
aigeneratedgame	從幽靈花園中拯救你的朋友！
